object,id,code,name,uri,scryfall_uri,search_uri,released_at,set_type,card_count,digital,nonfoil_only,foil_only,icon_svg_uri,tcgplayer_id,parent_set_code,mtgo_code,arena_code,block_code,block
set,ca4c2884-e539-4b7f-980d-5d6a50220f2a,dmr,Dominaria Remastered,https://api.scryfall.com/sets/ca4c2884-e539-4b7f-980d-5d6a50220f2a,https://scryfall.com/sets/dmr,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Admr&unique=prints,2023-03-31,masters,6,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/dmr.svg?1664769600,,,,,,
set,adc5d965-43ea-46bc-aebd-8a39282ce168,scd,Starter Commander Decks,https://api.scryfall.com/sets/adc5d965-43ea-46bc-aebd-8a39282ce168,https://scryfall.com/sets/scd,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Ascd&unique=prints,2022-12-02,commander,5,FALSE,TRUE,TRUE,https://svgs.scryfall.io/sets/default.svg?1664769600,17662,,,,,
set,81d56780-1efc-4487-9803-43d634ca13d0,brc,The Brothers' War Commander,https://api.scryfall.com/sets/81d56780-1efc-4487-9803-43d634ca13d0,https://scryfall.com/sets/brc,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Abrc&unique=prints,2022-11-18,commander,12,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/brc.svg?1664769600,,bro,,,,
set,1dbdd608-c330-4199-901f-9d141ae03786,brr,The Brothers' War Retro Artifacts,https://api.scryfall.com/sets/1dbdd608-c330-4199-901f-9d141ae03786,https://scryfall.com/sets/brr,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Abrr&unique=prints,2022-11-18,masterpiece,12,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/brr.svg?1664769600,,bro,,,,
set,99e9841c-837b-4920-9165-1c7ef693f40e,tbot,Transformers Tokens,https://api.scryfall.com/sets/99e9841c-837b-4920-9165-1c7ef693f40e,https://scryfall.com/sets/tbot,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Atbot&unique=prints,2022-11-18,token,2,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/default.svg?1664769600,,bot,,,,
set,59ed954b-74c0-4db3-8a2b-1d395e33288e,bot,Transformers,https://api.scryfall.com/sets/59ed954b-74c0-4db3-8a2b-1d395e33288e,https://scryfall.com/sets/bot,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Abot&unique=prints,2022-11-18,masterpiece,29,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/default.svg?1664769600,,bro,,,,
set,4219a14e-6701-4ddd-a185-21dc054ab19b,bro,The Brothers' War,https://api.scryfall.com/sets/4219a14e-6701-4ddd-a185-21dc054ab19b,https://scryfall.com/sets/bro,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Abro&unique=prints,2022-11-18,expansion,22,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/bro.svg?1664769600,3157,,bro,bro,,
set,05fccc6b-1c39-46b6-a492-ac9383a5abfe,q07,Pioneer Challenger Decks 2022,https://api.scryfall.com/sets/05fccc6b-1c39-46b6-a492-ac9383a5abfe,https://scryfall.com/sets/q07,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Aq07&unique=prints,2022-10-15,box,1,FALSE,TRUE,FALSE,https://svgs.scryfall.io/sets/star.svg?1664769600,,,,,,
set,fe88ea3a-0e2c-44b9-9210-35bfdec1e288,gn3,Game Night 2022,https://api.scryfall.com/sets/fe88ea3a-0e2c-44b9-9210-35bfdec1e288,https://scryfall.com/sets/gn3,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Agn3&unique=prints,2022-10-14,box,5,FALSE,FALSE,TRUE,https://svgs.scryfall.io/sets/gn3.svg?1664769600,3129,,,,,
set,455ba7d5-aa10-4a08-bc1a-361f4d5e6219,uplist,The List (Unfinity Foil Edition),https://api.scryfall.com/sets/455ba7d5-aa10-4a08-bc1a-361f4d5e6219,https://scryfall.com/sets/uplist,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Auplist&unique=prints,2022-10-07,masters,62,FALSE,FALSE,TRUE,https://svgs.scryfall.io/sets/default.svg?1664769600,,plist,,,,
set,565e3302-2fed-487e-a0f7-7f8037d25030,sunf,Unfinity Sticker Sheets,https://api.scryfall.com/sets/565e3302-2fed-487e-a0f7-7f8037d25030,https://scryfall.com/sets/sunf,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Asunf&unique=prints,2022-10-07,token,48,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/unf.svg?1664769600,,unf,,,,
set,b314f553-8f07-4ba9-96c8-16be7784eff3,unf,Unfinity,https://api.scryfall.com/sets/b314f553-8f07-4ba9-96c8-16be7784eff3,https://scryfall.com/sets/unf,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Aunf&unique=prints,2022-10-07,funny,638,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/unf.svg?1664769600,2958,,,,,
set,a60124f9-8002-4769-ac16-387b61fa2bc6,tunf,Unfinity Tokens,https://api.scryfall.com/sets/a60124f9-8002-4769-ac16-387b61fa2bc6,https://scryfall.com/sets/tunf,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Atunf&unique=prints,2022-10-07,token,14,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/unf.svg?1664769600,,unf,,,,
set,f35f5dd8-5b95-4f52-bbe7-1c62909a8d08,40k,"Warhammer 40,000",https://api.scryfall.com/sets/f35f5dd8-5b95-4f52-bbe7-1c62909a8d08,https://scryfall.com/sets/40k,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A40k&unique=prints,2022-10-07,commander,321,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/40k.svg?1664769600,3079,,,,,
set,671f2e10-501c-42ef-a1e3-9aa63ec3ec6c,t40k,"Warhammer 40,000 Tokens",https://api.scryfall.com/sets/671f2e10-501c-42ef-a1e3-9aa63ec3ec6c,https://scryfall.com/sets/t40k,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3At40k&unique=prints,2022-10-07,token,23,FALSE,TRUE,FALSE,https://svgs.scryfall.io/sets/40k.svg?1664769600,,40k,,,,
set,16c10b7c-f1f5-432f-a54d-ca76cf262c6d,prcq,Regional Championship Qualifiers 2022,https://api.scryfall.com/sets/16c10b7c-f1f5-432f-a54d-ca76cf262c6d,https://scryfall.com/sets/prcq,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Aprcq&unique=prints,2022-10-01,promo,3,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/star.svg?1664769600,,,,,,
set,796c1128-14f7-44c4-93fd-cf7366caaa25,p30h,30th Anniversary History Promos,https://api.scryfall.com/sets/796c1128-14f7-44c4-93fd-cf7366caaa25,https://scryfall.com/sets/p30h,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Ap30h&unique=prints,2022-09-09,promo,10,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/star.svg?1664769600,,p30a,,,,
set,8d8c82dd-0cc2-43b8-8d1c-7620fc4d98d7,pdmu,Dominaria United Promos,https://api.scryfall.com/sets/8d8c82dd-0cc2-43b8-8d1c-7620fc4d98d7,https://scryfall.com/sets/pdmu,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Apdmu&unique=prints,2022-09-09,promo,160,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/dmu.svg?1664769600,,dmu,,,,
set,1e96e903-601f-4286-b61e-8da021cbceff,tdmu,Dominaria United Tokens,https://api.scryfall.com/sets/1e96e903-601f-4286-b61e-8da021cbceff,https://scryfall.com/sets/tdmu,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Atdmu&unique=prints,2022-09-09,token,26,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/dmu.svg?1664769600,,dmu,,,,
set,b2bb7a14-16a2-4311-ab64-631a0252730c,pdwa,Dominaria United Japanese Promo Tokens,https://api.scryfall.com/sets/b2bb7a14-16a2-4311-ab64-631a0252730c,https://scryfall.com/sets/pdwa,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Apdwa&unique=prints,2022-09-09,token,5,FALSE,FALSE,TRUE,https://svgs.scryfall.io/sets/star.svg?1664769600,,dmu,,,,
set,03a103bc-60be-463f-a2ab-3d2ad5363354,tdmc,Dominaria United Commander Tokens,https://api.scryfall.com/sets/03a103bc-60be-463f-a2ab-3d2ad5363354,https://scryfall.com/sets/tdmc,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Atdmc&unique=prints,2022-09-09,token,12,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/dmc.svg?1664769600,,dmc,,,,
set,4e47a6cd-cdeb-4b0f-8f24-cfe1a0127cb3,dmu,Dominaria United,https://api.scryfall.com/sets/4e47a6cd-cdeb-4b0f-8f24-cfe1a0127cb3,https://scryfall.com/sets/dmu,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Admu&unique=prints,2022-09-09,expansion,434,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/dmu.svg?1664769600,3102,,dmu,dmu,,
set,8aaceeb7-7dd8-4fda-a95e-d9ec9c50860a,admu,Dominaria United Art Series,https://api.scryfall.com/sets/8aaceeb7-7dd8-4fda-a95e-d9ec9c50860a,https://scryfall.com/sets/admu,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Aadmu&unique=prints,2022-09-09,memorabilia,81,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/dmu.svg?1664769600,,dmu,,,,
set,78076b27-f888-4723-b27c-44074accd261,dmc,Dominaria United Commander,https://api.scryfall.com/sets/78076b27-f888-4723-b27c-44074accd261,https://scryfall.com/sets/dmc,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Admc&unique=prints,2022-09-09,commander,240,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/dmc.svg?1664769600,3140,dmu,,,,
set,f3d98295-0697-433a-9429-d04600da2295,p30a,30th Anniversary Promos,https://api.scryfall.com/sets/f3d98295-0697-433a-9429-d04600da2295,https://scryfall.com/sets/p30a,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Ap30a&unique=prints,2022-09-02,promo,9,FALSE,FALSE,TRUE,https://svgs.scryfall.io/sets/star.svg?1664769600,3178,,,,,
set,3e69d407-6a48-4073-97b3-9b7720aed6b6,psvc,Summer Vacation Promos 2022,https://api.scryfall.com/sets/3e69d407-6a48-4073-97b3-9b7720aed6b6,https://scryfall.com/sets/psvc,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Apsvc&unique=prints,2022-08-01,promo,3,FALSE,FALSE,TRUE,https://svgs.scryfall.io/sets/star.svg?1664769600,,,,,,
set,a4bc595f-421f-4cd0-9a27-2b9fd7c7c2ac,ea1,Explorer Anthology 1,https://api.scryfall.com/sets/a4bc595f-421f-4cd0-9a27-2b9fd7c7c2ac,https://scryfall.com/sets/ea1,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Aea1&unique=prints,2022-07-28,box,20,TRUE,TRUE,FALSE,https://svgs.scryfall.io/sets/mtga.svg?1664769600,,,,,,
set,14717ba4-0497-4257-ae2f-2e0115230d4e,ha6,Historic Anthology 6,https://api.scryfall.com/sets/14717ba4-0497-4257-ae2f-2e0115230d4e,https://scryfall.com/sets/ha6,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Aha6&unique=prints,2022-07-28,box,20,TRUE,TRUE,FALSE,https://svgs.scryfall.io/sets/ha1.svg?1664769600,,,,,,
set,211b56b9-961e-4eab-8245-a2f52dd9af47,sch,Store Championships 2022,https://api.scryfall.com/sets/211b56b9-961e-4eab-8245-a2f52dd9af47,https://scryfall.com/sets/sch,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Asch&unique=prints,2022-07-09,promo,6,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/star.svg?1664769600,,,,,,
set,9645dac1-faea-41a3-83c3-20df714c2c92,t2x2,Double Masters 2022 Tokens,https://api.scryfall.com/sets/9645dac1-faea-41a3-83c3-20df714c2c92,https://scryfall.com/sets/t2x2,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3At2x2&unique=prints,2022-07-08,token,24,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/2x2.svg?1664769600,,2x2,,,,
set,5a645837-b050-449f-ac90-1e7ccbf45031,2x2,Double Masters 2022,https://api.scryfall.com/sets/5a645837-b050-449f-ac90-1e7ccbf45031,https://scryfall.com/sets/2x2,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A2x2&unique=prints,2022-07-08,masters,579,FALSE,FALSE,FALSE,https://svgs.scryfall.io/sets/2x2.svg?1664769600,3070,,,,,
set,35528ede-7870-4598-a2ee-7f3d6464a74b,hbg,Alchemy Horizons: Baldur's Gate,https://api.scryfall.com/sets/35528ede-7870-4598-a2ee-7f3d6464a74b,https://scryfall.com/sets/hbg,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Ahbg&unique=prints,2022-07-07,alchemy,437,TRUE,TRUE,FALSE,https://svgs.scryfall.io/sets/hbg.svg?1664769600,,,,,y22,Alchemy 2022
set,4c5b03fd-184b-4b7d-8170-3b24b9a4c0c4,plg22,Love Your LGS 2022,https://api.scryfall.com/sets/4c5b03fd-184b-4b7d-8170-3b24b9a4c0c4,https://scryfall.com/sets/plg22,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Aplg22&unique=prints,2022-07-01,promo,1,FALSE,FALSE,TRUE,https://svgs.scryfall.io/sets/star.svg?1664769600,,,,,,
set,a6254b2a-0154-459a-936e-5967018d823b,pclb,Battle for Baldur's Gate Promos,https://api.scryfall.com/sets/a6254b2a-0154-459a-936e-5967018d823b,https://scryfall.com/sets/pclb,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3Apclb&unique=prints,2022-06-10,promo,99,FALSE,FALSE,TRUE,https://svgs.scryfall.io/sets/clb.svg?1664769600,,clb,,,,
